S.No,comments ,Label
HATE_3884,First her hand vadalara babu kamapisachi,hate
HATE_3885,Come on first,hate
HATE_3886,Cheyi Vadulu Raa Babu ... 4 Peli Cheskuntava EMI,hate
HATE_3887,Sir nani koncham feel avvuthunaru sir,non-hate
HATE_3888,When we ask our state you will not forget to lend it soon !!!,non-hate
HATE_3889,Avado Rasindhi Sadavadam Appudu Manathavo Appudu Bagupadathav,hate
HATE_3890,AP STATE NU Sarwa Nasanam Chesaru,hate
HATE_3891,YCP Paytm Batch Vachhindi,hate
HATE_3892,Zilla Ko Airport Kadaruga. Inka Roads Ala Vunte Enti,hate
HATE_3893,Sakshilo anni migurinchi rasuko,hate
HATE_3894,Adige dhammu manà jail reddy ki ledu,hate
HATE_3895,Pics defamation is not defamatory.,hate
HATE_3896,Asalu districts okkati capital ayethe godava vundadu,non-hate
HATE_3897,Veedu am pikaledu ani telusu,hate
HATE_3898,Our Jagan Reddy does not get Hindi English,hate
HATE_3899,Okadaniki dhikku ledhu veddi mokana 3 anta aha aha,hate
HATE_3900,Telugu is also a little bit of our pics Reddy,hate
HATE_3901,Sampu Ravali Palana Marali,hate
HATE_3902,"The YCP and the BJP are the same. If the two parties are not asking for the CM in the debate tomorrow, if the pics shout here, there is nothing beyond that.",hate
HATE_3903,Telangana Andhra Pradesh Me B J P Ki Sarkar Banna,hate
HATE_3904,What is the original buildup?,hate
HATE_3905,Cinema Vundi Bayya …… ​​Jivitham lo malli movies,hate
HATE_3906,Heroine Kante Ekkuva Feel Avutundi Ga Pilli Mokham de Antha Scene A Ledu Ani Teliyadu Daaniki,hate
HATE_3907,They also need a vower,hate
HATE_3908,Andariki nidrostundi observe clearly,hate
HATE_3909,"If the film is released and released, a few thousand goods are joined by a tornado",non-hate
HATE_3910,Simple Ness Super,non-hate
HATE_3911,Bundle,hate
HATE_3912,Deepika Cat Feeling ::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::: ..,hate
HATE_3913,CMR Central Lo Movie Promote Chestey Baguntadi Weekends Saturday or Sunday Movie Blockbuster Pakka,non-hate
HATE_3914,Edi padite adi teeyadam janaalanu cash chesukovadam.,hate
HATE_3915,"Sudheer garu na presna pedha star la ke, e, bild updadhu nuv chala chestunav nee kanna get up Srinivas",hate
HATE_3916,Rashmi Tho Kalisi Oka Manchi Love Story Movie Theeyi Sudheer Anna ..,non-hate
HATE_3917,Deepika Kanna Rashmi Ye Baguntundi,hate
HATE_3918,ABBA MEERU EM HANDSOME ANNA ABBA I Love You Sudheer Bro,non-hate
HATE_3919,Abba Beautiful Couples How Happy To See Everyone wants to be happy,non-hate
HATE_3920,Racky Boy in KGF movie,non-hate
HATE_3921,It is a real word in the style that is the hero of the hero,non-hate
HATE_3922,Dance from a stage called Dance,non-hate
HATE_3923,Hero Material Johnny,non-hate
HATE_3924,"Once upon a time, you have shown how to get up from the live program as a paste",non-hate
HATE_3925,Dance is what it should be like to look at the style of the beauty of the show.,non-hate
HATE_3926,"KGF CHAPTER 1 Looks at Flex and Jani Master's First Ash, Ram Charan and Jani are the same",non-hate
HATE_3927,Very hard to come to this stage,non-hate
HATE_3928,Hero ️ You are so fine more than,non-hate
HATE_3929,Super Dance Master Johnny,non-hate
HATE_3930,Johnny Boy has shown our power to Bollywood,non-hate
HATE_3931,Divine strength to those who are honest with righteous,non-hate
HATE_3932,"You have proven that if you have super madam's perseverance, anything can be achieved",non-hate
HATE_3933,Madame should be like you should be your Great Madame Congratulations,non-hate
HATE_3934,Salute to her courage. Coffee is the chairperson of the company,non-hate
HATE_3935,"If you are our sister, you will still be happy",non-hate
HATE_3936,My Johars for your efficiency to your mind.,non-hate
HATE_3937,Hotsaf Andyi to your heart brave Hatsaf My Salute to your conscience,non-hate
HATE_3938,Hatsoff Madame for your success ...,non-hate
HATE_3939,Like kadu to her mood to the hardships,non-hate
HATE_3940,For your adventure and your culture,non-hate
HATE_3941,Ho Polavaram Bafoon Build,hate
HATE_3942,The less buildup of work is higher,hate
HATE_3943,Evadra Evadra Veedu driven poker clubs,hate
HATE_3944,Why is this background?,hate
HATE_3945,Anna yentanna edhi nenu yeppudu chudalee,hate
HATE_3946,This is the bulid up aaa for the monkeys landing,hate
HATE_3947,I am not mad but there is mad mind,hate
HATE_3948,This is the role of someone who thinks someone,hate
HATE_3949,BGM beaten,hate
HATE_3950,Anil Yadav Be Like; Evadra Evadra You Buckle,hate
HATE_3951,Bairdi Siddhartha Reddy is the hero,non-hate
HATE_3952,Iron is not iron,hate
HATE_3953,Anna Casino Legal Please,non-hate
HATE_3954,There is no half talent in our Telangana KTR,hate
HATE_3955,420 Batch LOO VEDU OKKADU YCP Party LOO,hate
HATE_3956,This is the heroes of Jai Janasena,non-hate
HATE_3957,He separates that place,non-hate
HATE_3958,Those who come from underneath the difficulty of Chiranjeevi give everyone a respect,non-hate
HATE_3959,Where did you start ..,non-hate
HATE_3960,Anyway Mega Family is the Great Family. Anyone should respect them,non-hate
HATE_3961,Mari Atluntadhi Krithi BRM THONI ANDAM Ante Minimam Atta,non-hate
HATE_3962,Namukunodu is the one who is holding the legs of Ogoni,hate
HATE_3963,That is called Hunda,hate
HATE_3964,32 Caselu Unnapudu Kallu Pattukovali Leka Pothey CBI VAALU LO VESTHARU,hate
HATE_3965,Expression em vundavu ... Anntiki Sam Expressions,non-hate
HATE_3966,"Ayyo Anuksha Seeti Ki, Krthi Setti Ki Shoulder Down Undhi ,,,",hate
HATE_3967,This is the heroine Entra Karma ....,hate
HATE_3968,The government should recognize this difficult tasks and grant them some pension,non-hate
HATE_3969,This is the case in the time of the time of the time of the time of the time of the time,hate
HATE_3970,"Sister you have done very well, Amma Nee talent is not normal.",non-hate
HATE_3971,Antha Perfect Ga Ayithae Raledhu But Try Chesaru Kadha That's More Important,hate
HATE_3972,Such a walle kill husband for the month of marriage,hate
HATE_3973,Really ️ super,non-hate
HATE_3974,Great Performance Sis Dance Vesav Super is Perfectly Sliping Below Tiles,non-hate
HATE_3975,Wow your Dance Super Super,non-hate
HATE_3976,During this period this dance is gone on the interest lives on the law,hate
HATE_3977,Super Gold Amma,non-hate
HATE_3978,Dance plus season 2,non-hate
HATE_3979,What Parla Purla .... The cup is not important ....,hate
HATE_3980,The hog should come to give,non-hate
HATE_3981,So much so that our Anna.,non-hate
HATE_3982,You are the Common Man,non-hate
HATE_3983,The same fandom should be up to the Elections,non-hate
HATE_3984,It is our misfortune to miss you. In the heart of our poor ever,non-hate
HATE_3985,"From the Telangana Movement Songs, Mangli, who changed the root on the mass songs",non-hate
HATE_3986,Mangli madam sings in the throat of any song in the throat.,non-hate
HATE_3987,Akka neee voice la edo magic music undiii,non-hate
HATE_3988,Sister your song is all over,non-hate
HATE_3989,Mangli means energy,non-hate
HATE_3990,Dress Bavundi Kaani Phone Poyindi,non-hate
HATE_3991,Dress ni chusukunnatuga kasta phone ni kuda chuskovali kada amma,non-hate
HATE_3992,The songs sung by Mangley seem to be the same as the big differential,hate
HATE_3993,Unnaru who falls better than this,hate
HATE_3994,"Every song is high, because all the songs are the same.",non-hate
HATE_3995,Helping Nature Kuda Vundaali Apude Manishiki Viluva,non-hate
HATE_3996,Real dance bro was worn,non-hate
HATE_3997,How many times do you want to see your dance,non-hate
HATE_3998,"In that white dress, Vijayawada has seen the eldest of the eldest Vangaviti Mohan Ranga",non-hate
HATE_3999,Let's see Pawan Kalyan's sale to any party this time,non-hate
HATE_4000,Style,non-hate
HATE_4001,Likes are so many but votes are very low,hate
HATE_4002,All the forests are sending the room to the first night,hate
HATE_4003,This is the speed dancer who can not do,non-hate
HATE_4004,A god who has stalled in many millions of hearts,non-hate
HATE_4005,It is sad to have this fit body and die,non-hate
HATE_4006,That master Srimukhi is the elaka child,non-hate
HATE_4007,Shekhar Master and Srimukhi Garu your dance,non-hate
HATE_4008,You are a dancing super sirukhi that is all fat,non-hate
HATE_4009,Thighs ... are at all,hate
HATE_4010,I have heard the banana bodies. Now I have seen Srimukhi.,hate
HATE_4011,They are the end of the thighs metro children,hate
HATE_4012,"As females are males, males and females",hate
HATE_4013,AA was wearing a small fabric to chill the thighs,hate
HATE_4014,Bulls with a good pair,hate
HATE_4015,Bulls with a good pair,hate
HATE_4016,Sar you are our Fower Sir,hate
HATE_4017,What's two in the bedroom,hate
HATE_4018,Thighs look very attractive,hate
HATE_4019,Hammaiah .. Mother has made a good video so far,non-hate
HATE_4020,My Somi Rang,non-hate
HATE_4021,Where this horse goes out,non-hate
HATE_4022,"When you look at the eye and look at the two fingers, my cunning nerve",non-hate
HATE_4023,Okay for that car ..... you find driver ??,hate
HATE_4024,There is no feeling that we are watching the movie.,non-hate
HATE_4025,Be the method,non-hate
HATE_4026,What horse is coming to 2'Sare .. There are trees beside and go to the load,non-hate
HATE_4027,Body in the madam,hate
HATE_4028,Why not go any Morning and why the roots quickly,hate
HATE_4029,Underwear inside or,hate
HATE_4030,Running a boring cart,hate
HATE_4031,Surekha's daughter's mother wanders in the club,hate
HATE_4032,Laughter is showing,hate
HATE_4033,"If our people do not believe in good people, how can another nation better.",non-hate
HATE_4034,As long as my breath is my vote for you Anna,non-hate
HATE_4035,Focus on the solution of public issues,non-hate
HATE_4036,It is not enough for him to win,non-hate
HATE_4037,Jai Power Star Anna Pawan Kalyan says I am your fan Anna next,non-hate
HATE_4038,Similar Steps Ha for all songs,non-hate
HATE_4039,Note the happiness in the eyes of those around once,non-hate
HATE_4040,That happiness is known to the true Pawan Kalyan Abhimani,non-hate
HATE_4041,The boy was happy and watered in our eyes,non-hate
HATE_4042,Pavankalyan is a righteous in laughter ..,non-hate
HATE_4043,FANC that gives life is only a Pawan Kalyan,non-hate
HATE_4044,My gold ... that is in that laughter is our happiness,non-hate
HATE_4045,Sir you are inside the heart not above the heart,non-hate
HATE_4046,That laughter is a joy in the million crores,non-hate
HATE_4047,This video is very fond of me,non-hate
HATE_4048,Fans like this are only Pawan Kalyan,non-hate
HATE_4049,Kaasta Amma Nunna has love on Vundandi Bro,non-hate
HATE_4050,The itching in the eye is so fit,non-hate
HATE_4051,The itching in the eye is so fit,hate
HATE_4052,Arey edi ammai kadura ani,hate
HATE_4053,This is what it runs,hate
HATE_4054,The future hero for the upcoming period,non-hate
HATE_4055,Venkatesh Gary Boy So Sweet,non-hate
HATE_4056,Next Generation Chala Strong Ga Prepare Chesthunnaru,non-hate
HATE_4057,Mahesh Babu Lund Sithara Papa is very cute,non-hate
HATE_4058,Enni saarulu chusina chudalanipistu vundhi,non-hate
HATE_4059,Both are very nice sooooo cut,non-hate
HATE_4060,Happy Marriage Life as you want to be cold for hundreds of years,non-hate
HATE_4061,But not seemed but ... so much canning,hate
HATE_4062,Siri Kosam vachenappudu srihan ni chala manchadu anukunnam.,hate
HATE_4063,With Shekhar Master that ... what did the child do ..... Nayana.,non-hate
HATE_4064,Deepika Dance did much better than Shekhar Master,non-hate
HATE_4065,Prabhas Garu Anushka You Get Married,non-hate
HATE_4066,Prabhas Garu Anushka Garu wants a few million people in Telugu states,non-hate
HATE_4067,Very Grace Full Dancer,non-hate
HATE_4068,Pinky ki entha kopam vachi vuntundhoo papam,non-hate
HATE_4069,Anna pinky akka kada kada ne jodi were is pinky akka,non-hate
HATE_4070,Deepika you like a good dance vi dance,non-hate
HATE_4071,Vammo Super Chitty Thalli ️ Action Ke Pranam Posela Annav Raw,non-hate
HATE_4072,Gold is very nice of how much kiss,non-hate
HATE_4073,ALENTE KI AGE not needed again,non-hate
HATE_4074,Pema is an inappropriate pama,non-hate
HATE_4075,If our son is married to your son,non-hate
HATE_4076,I don't see this beautiful child in my life,non-hate
HATE_4077,The song in any movie ... very nice,non-hate
HATE_4078,Annayya undi kuda miss avuthunnavaru,non-hate
HATE_4079,Shekar Master Appatlo Sadha Garitho Dhee Lo Dance Chesevaru,non-hate
HATE_4080,Holy Perfect Dance,non-hate
HATE_4081,Emm bro fans here,non-hate
HATE_4082,This sparkle almonds will be set to the girl,non-hate
HATE_4083,Atleast thana age ki thana carrier set ayyindhii.,non-hate
HATE_4084,Elanti Song Vesina Ade Oke Expression Papa !! Malli Dhaniki Karuvu Batch,hate
HATE_4085,Shekhar is doing this with different girls now or tomorrow your daughter is also forgotten master,hate
HATE_4086,How many times I heard the Super Anna Song,non-hate
HATE_4087,How many times do you want to hear this song,non-hate
HATE_4088,You are good bro.,non-hate
HATE_4089,"Ramanagaru has to listen to your song and listen to how many times and listen to us in the traditional manner, such as listening to us.",non-hate
HATE_4090,When do you have to be together?,non-hate
HATE_4091,I don't know how many hardships will come after Brother,non-hate
HATE_4092,Anna you know the hardest value of the hard work,non-hate
HATE_4093,Everything is your hardest ... you want to be happy and your fan.,non-hate
HATE_4094,Watch a video for comments while watching the video,non-hate
HATE_4095,They are not screaming in front of the camera.,hate
HATE_4096,"If the saree is tied to anyone, there is a humility.",non-hate
HATE_4097,Jai Pawan Kalyan is his own,non-hate
HATE_4098,"If you go to the photo, there are MLAs and MLAs like that, they see our God once",non-hate
HATE_4099,Inthamandi Abhmaninchali Ante Entha Adrushtam Chesuko Undali,non-hate
HATE_4100,Good luck ..... Enjoy Brothers ....,non-hate
HATE_4101,What lucky Swami Anna did a phone touch .. Lucky,non-hate
HATE_4102,Hearing the call of the elder brother and turned back,non-hate
HATE_4103,Hearing the call of the elder brother and turned back,hate
HATE_4104,Super success that tries a different tri rather than a copy,non-hate
HATE_4105,"Starting lo full cover aiye vesedi dresses, rating kosam ippudu air free",hate
HATE_4106,Your waist is aunty,hate
HATE_4107,This is for these females,hate
HATE_4108,People should defend the laws first.,non-hate
HATE_4109,The people of the hut are not even thinking that God cannot repair it.,hate
HATE_4110,"It is true that Chandrababu, who can see both development and welfare, is good for the state",non-hate
HATE_4111,He is buying people with money by name schemes,hate
HATE_4112,Gudivada means Casino,hate
HATE_4113,It is all over the state that everyone has spoken on the condition of the road…,hate
HATE_4114,The common people say that is the Opinion.,non-hate
HATE_4115,The reason for this is the Muslims religious mania,hate
HATE_4116,The Hindu population is due to some Christianity convert,hate
HATE_4117,The government is behaving like this to the government. Why reads yet,hate
HATE_4118,Jaibheem supports Muslims and insulted Ambedkar's constitution,hate
HATE_4119,Please be together. We are Indians,non-hate
HATE_4120,There are no crowds,hate
HATE_4121,Indian Michael Jackson Prabhu Deva,non-hate
HATE_4122,Any dancer after Prabhu Deva,non-hate
HATE_4123,India Legendary Dancer One and Only Prabhu Deva,non-hate
HATE_4124,"No matter how many dance masters come, Prabhu Deva cannot be like a master",hate
HATE_4125,Prabhu Deva Dance Master means Dance,non-hate
HATE_4126,There will be a big mouth to lie,hate
HATE_4127,Pastors are a man of all.,hate
HATE_4128,Do you like this calm politics like Anna,non-hate
HATE_4129,"Sir Nadendla Manohar, stay with Pawan Kalyan as long as you are alive",non-hate
HATE_4130,All register votes,non-hate
HATE_4131,The state will develop if it is not a corruption -free administration.,non-hate
HATE_4132,The boys are shocked. Now the girl gave Ke shock,non-hate
HATE_4133,Amo Papa is on the most speed. The guys came to a time,non-hate
HATE_4134,e rojullo ela chetta dress lu dancelu vesi paruvu theyyakamdi mam,hate
HATE_4135,All TDP activists subscribe to this channel,non-hate
HATE_4136,"If you do this, you will be in 2019.",hate
HATE_4137,Chandrababu Naidu is enough,hate
HATE_4138,That means pics continue to be afraid,hate
HATE_4139,"Cagan Ika, who has made all the videos of all the videos",hate
HATE_4140,Alredi has got a dough on you.,hate
HATE_4141,Ayya ​​is my salutations to those who have edited it tomorrow. Shown as corrective,non-hate
HATE_4142,Bildup Babai came,hate
HATE_4143,I don't like Allu Arjun because I am a mega family fan.,hate
HATE_4144,Anna you did very well,non-hate
HATE_4145,Two of you comment Super Anna,non-hate
HATE_4146,Leave it for the rest of life,hate
HATE_4147,This is what the water spoils the youth,hate
HATE_4148,This is why we did it without channels in our house.,hate
HATE_4149,I change the channel before,non-hate
HATE_4150,Maypee gets out on bail as we have made a plow in our country.,hate
HATE_4151,Yashoda Movie is very well,non-hate
HATE_4152,Hit Kodithe Kadhu Madam Valla Tho Padukunte Offers Vasthai Vallaku,hate
HATE_4153,Exposing dose PENCHHITE OFFER LU VASATY,hate
HATE_4154,#Akhil Ayyagare Correct…,non-hate
HATE_4155,"Frank ga Cheppalante Evari Personal Life Valladi ...
Meru chesthundi enti mari
Peruki Pedda News Channels ... Avasaramayina News Vadilesi Sodhi News lu Cheptle ...
Enta Sepu Cinema Valla Personals Lo, Leda Social Media Peru Cheppi
Netizenlu Troll Chesthunaru Anatam ... Controversy Lani Pani Kattukuni Crete Cheytam ... Ila Sodhi News
Scrap Media Channels ....",hate
HATE_4156,Nee Bonda ... Pelli Ayyaka Vidipovatam Kante Munde Vidipovatam Manchidi .. Nuvvu Nee Dikkumaalina News.,hate
HATE_4157,I like the way Siddharth Reddy's spoken way,non-hate
HATE_4158,I have been waiting for almost 3 years for an interview with Bairdi Siddhartha Reddy,non-hate
HATE_4159,The whole of the questions are unanswered questions .. Super By Reddy Siddharth Reddy,non-hate
HATE_4160,Leaders like Siddharth Reddy need this society very much,non-hate
HATE_4161,Siddharth Reddy is a tiger claw ...,non-hate
HATE_4162,Only by Reddy Siddhartha Reddy's elder brother Like Me ....,non-hate
HATE_4163,Bairdi Siddhartha Reddy has a good political future,non-hate
HATE_4164,I have seen a truthful interview in my life. Jai Bairdi Siddhartha Reddy.,non-hate
HATE_4165,Ganesh Ganesh Ganesh Garu,non-hate
HATE_4166,Look at the HEROs .. Bundla Ganesh Sir Interview ... a good positive vibration comes ... The word 'hard' means you are sir .... Everyone has comdieons .But you .. LOIFE King Sir .... Love u sir. . Love you forever sir,non-hate
HATE_4167,The greatest thing to give life to someone ..... TQ Bandla Ganesh Garu,non-hate
HATE_4168,My heartfelt thanks to Ganesh Ganesh,non-hate
HATE_4169,Andhra Pradesh Sand Mafia Dawn Jagu Bhai.,hate
HATE_4170,Ori Nation Nation,hate
HATE_4171,Andhra Pradesh Hills and Guttas Kabza Mafia Don Jog Bhai,hate
HATE_4172,"Murthy will be good if you understand the best of all,",non-hate
HATE_4173,How many times you have seen,non-hate
HATE_4174,I have no internet mobile data and see what if you get money from it ...,non-hate
HATE_4175,Meru super mee matala chala chala navu vastundi sir,non-hate
HATE_4176,Director ga kante camedian ga akkuvaga navvistunnaru super,non-hate
HATE_4177,This movie wants to be a good success,non-hate
HATE_4178,"Nachchavura, to your personality that can be said to be fearless and overtly by the truth",non-hate
HATE_4179,This is the stunt ery pu gadu for the votes of Chira and Janasena in that area,hate
HATE_4180,Sir Goodmng Dharmavaram I see every episode that is very rare,non-hate
HATE_4181,"Very happy, proud to be born in India. Atlest we have fredom here for females",non-hate
HATE_4182,Proud is the birth of India in India,non-hate
HATE_4183,We are sure to understand the good and the good and the educated people who do not know such things and vote in the coming days to protect democracy…,non-hate
HATE_4184,You need a lot of people like you,non-hate
HATE_4185,Vaadi face enti ala alapothundi chiraku ga,hate
HATE_4186,Janaalu Navutunaru Nani Asalu Siggu Eggu Lekunda Elaa Support Cheskuntunnav,hate
HATE_4187,Ree Babu Nani ga Neku Eaduku Ra Avasaram Vajaya Sai Chappali Ha Visayam Nevu Eaduku Neku Avasaram Eamiti,hate
HATE_4188,Veedu bhutulu vedava,hate
HATE_4189,"24 hours, TDP adhi chesindhi.... Janasena idhi chesindhi.... YSRCP EM PEEKINDHI RAAAAA... lafoot... all fraud, all kabja, all fake.. YSRCP life lo malli gelavadhu…",hate
HATE_4190,"Yerri Paapalam Manam, samanya prajalu",hate
HATE_4191,Meeru Gopi Goda Meeda Pilli Anna Maata Edava,hate
HATE_4192,Party paranga vaduu. Godameeda pilli laga kuda vaddu ra Howla,hate
HATE_4193,No1 broker raa nuvvu,hate
HATE_4194,Itha Meeru Yemi Chei Leru Ani Opukunaru Santosam Ithea Meeru Cheappe Sollu Ennalu Vinnandhuku Memu Sannasulam Kaani Memu 2024 LO MAA Vote Tho Cheigalam,hate
HATE_4195,Dasamagram Datha Puthrudu Gali Pavan Puka Ga Namakaranam Cheyyadi,hate
HATE_4196,Elagaina vastadu mee dhulaa thirustadu.,hate
HATE_4197,Induke Mimmalni Ycheepi Chavata Sannasulu Andi,hate
HATE_4198,Mere brathukulu inthey eka. Nasanayam Aaipotai,hate
HATE_4199,Miru theda ga kanipisthunnaru,hate
HATE_4200,Ycheepi Goondalaki Bhayam Start Ayyindi Edavalu Ki,hate
HATE_4201,Cinema SHUTING KU Needed.,hate
HATE_4202,Maku Commen Sense Undaa Banda Edava,hate
HATE_4203,E Andhra Thanos and Paytm Batch Pichekki Elanti Panulu Cheastunarru .... Poea Kalamm Dagera Padindi.,hate
HATE_4204,Shooting leka mind dobbindi .Court should consider this issue .If students. IS IT CORRECT .PLS CONSIDER IT,hate
HATE_4205,Hello paytm s meeeku okkadi paguluddi,hate
HATE_4206,Konderi puk channel la unde,hate
HATE_4207,"If you come close to the time, talk",hate
HATE_4208,Ayya ​​Ikkadiki Vochi 5rs Tiskuni Moragandi inka,hate
HATE_4209,Pora neeeeeeee nekanna pedha vunmadhi vuntara ambati,hate
HATE_4210,"Why talk about such mad people, Ambati.",hate
HATE_4211,Elangana Prabhuthvam Andhuna Point Kalyan Vaadi Amma Ni Dhengina Prabhuthvam Kadha ..No Doubt,hate
HATE_4212,Car Top Medhega Kurchuni Vachindhi Mee Araganta Auntymedha Kurchuni Kurchuni Kaadhu,hate
HATE_4213,Maharri Tamaru Everry Everry Tail,hate
HATE_4214,"Meeru Ilaage Sakshi Munde Vuntaaru, Okasari Bayatiki Velthe Nee Bathuku Yento Prajalu Telustaaaru, Velli Chudu",hate
HATE_4215,Pichi pattinattundi peekey ki. A P arachekam jaragabothundhi ani anipistundhi naku,hate
HATE_4216,Vaadi Puttuka Lopam .........,hate
HATE_4217,EE GALI GADU ugipotunnadu.cinma shooting anukunnademo.,hate
HATE_4218,Shani Gadu came to our state on Saturday.,hate
HATE_4219,"Konchum Theda Kadu Chala Theda ....... after 2024 Elections, 25 Paise Direct Flight to Moscow, Russia to Become to Russia ..... .....",hate
HATE_4220,Pichi Kukka Tho Pillasainiks Jai Paytm Pillasainiks,hate
HATE_4221,Siguu Vundali Mokaniki LA ...... A,hate
HATE_4222,Siggu Undali Ra,hate
HATE_4223,Nuvvu vastavu em matladathavo nekay theedhu tedha ga,hate
HATE_4224,Neevi pichi kekalu,hate
HATE_4225,NUV pani cheira babu mundu eppudu vere malla meda padi edustav,hate
HATE_4226,Babu Aambotu Ramubabu Garu Maru Matladevi Enti Ainaa Meekanna Unmadulu Evarunnaru Netho Padhi Daka Untaru Malli Chupinchu Antaru Enti,hate
HATE_4227,Sir Paapam Taagivachadu ..... Thagubhothodu .... Vadhileyandi Sir ...... Sir Ma Galli Lo Oka Drinker Same To Same PK Laagane Vunttadu ... Vaadu Vaadi Cutting ..... Thu,hate
HATE_4228,Pawala Pichi Kukka ... biscuits kosam vachindoiiii,hate
HATE_4229,Nuv matladina waste ra,hate
HATE_4230,nikanna kukkaha leru,hate
HATE_4231,Apara Thagubothu abbati,hate
HATE_4232,Sulli ra,hate
HATE_4233,Nuve tedaga mataladutunav,hate
HATE_4234,Babu o rambabu nuve sa ...... Naki Pothuv Babu,hate
HATE_4235,Sir is very well spoken in the language that everyone understands ....,non-hate
HATE_4236,Mee Maata Tiru Chala Baguntadi Si,non-hate
HATE_4237,Super sir you spoke very well sir,non-hate
HATE_4238,We will never be fans of your speech in Madhusudan's assembly or outside,non-hate
HATE_4239,The lion wakes up and not one by one,non-hate
HATE_4240,Atla Vuntadi Mala Manathoni Mamula Undadhu,non-hate
HATE_4241,Super Madame said well,non-hate
HATE_4242,Roja has done a lot of mistake ..,non-hate
HATE_4243,They want this society like madam.,non-hate
HATE_4244,Thank you to the truth fearless,non-hate
HATE_4245,Tatta Butta adjusts and Ready Gundu Jagan Reddy is out of time,hate
HATE_4246,Who can do what Kunta does not do our best,non-hate
HATE_4247,Entha Cute Couple Abbaa .. !!,non-hate
HATE_4248,Akkka this is just na birthday akka ninna and this video makes me laugh litle harder u guys are the best,non-hate
HATE_4249,Meeru Nijamga Made For Eother Asalu Mi Vlogs Vlogs Vlogs Vlogs Vammo Navvi,non-hate
HATE_4250,Geethu first navu over action vadu ok ah pubic ke over action vadu ok navu koda al,hate
HATE_4251,Peetha… idoka lavada lo Buildup,hate
HATE_4252,Not even admitting his mistakes .. Pichi Munda,hate
HATE_4253,Geethakka Performance Matram Apadam Ledhu Ga ..... Mental DI,hate
HATE_4254,Geethu Ki Correct mogudu shiva dimma thirigindi geethu ki,hate
HATE_4255,Next Faima should come into this position ... The game is not played without support ...,hate
HATE_4256,Next Faima should come into this position ... Game without support ...,hate
HATE_4257,Bowls When I Never Wash VI VIDEO VIDEO Watch Geetu Mohammed Kothi La Pettindi Moham,hate
HATE_4258,Geethu Ni Frist Eleminate Cheyyandi Mari Ante Mari Chesthundhi,hate
HATE_4259,Satya Over Action Ekuva Aindhi Arjun Paina. Papam vadi affection kuda content laga thisukundhi,hate
HATE_4260,"Ammai Maya La Padithy Ela Madhyala Out Aavtham, Papam Bali Aaipoyadu Pilla Pilla Puku Gadu",hate
HATE_4261,"Mustache Kosam Wait Chesi Untadu, Inni Rojulu Ee Video Cheyadaniki, Enthaina Ne Dedication Ki Hats Off Bro",non-hate
HATE_4262,There will be no problems ... Well said Kethireddy,non-hate
HATE_4263,Abba said very sobering sir. Best of our friends is better than our friends…,non-hate
HATE_4264,Bowling World Indian Team The .....,hate
HATE_4265,Final England to win All the Best England Team 2022 England Winner,non-hate
HATE_4266,Cup Pakistan De .... Good luck came together .... All the best Pakistan,non-hate
HATE_4267,"England Match Gelichindi Virat, Sky and Hardik Hrudayalu Gelicharu Anthe",non-hate
HATE_4268,"IPL Ki Best Mana Palyers, International matches enduku waste",hate
HATE_4269,Kanisam Okka Wicket Kooda Teeyaledu Waste Galu,hate
HATE_4270,You have spoken to Madame 100% Correct Madame. Hats off to you.,non-hate
HATE_4271,"
Vijay Deverakonda is very perfect.",non-hate
HATE_4272,Priya's comment is very good.,non-hate
HATE_4273,This is good for Amma Amma,non-hate
HATE_4274,The snow family is a great gift to God to the Telugu people.,non-hate
HATE_4275,Comedy Singers have a recognition of this way,non-hate
HATE_4276,"The snow family is a great gift to God to the Telugu people.
Must, to bear 0",non-hate
HATE_4277,Nenu Drawer Esta Look I Look at Drawer Esta If I don't see my drawer siad,hate
HATE_4278,Anna really smiles after many days tq anna keep doing like this,non-hate
HATE_4279,Anna Mee Spandhana Bagundhi,non-hate
HATE_4280,Rashmika..ante .... Asalu chiraku naaku.,hate
HATE_4281,You do very well .... you have become a fan,non-hate
HATE_4282,Saami ... Kadha Kannaa Venakaala Nuvv Cheppina Vivarana Baagundi…,non-hate
HATE_4283,"When he praises him as great, you should be like him",non-hate
HATE_4284,RGV Effect Valla Puri Cinemalu Anni Dobbayi.,hate
HATE_4285,vadu donga nuuv yadava,hate
HATE_4286,Psycho Pastor vadulu,hate
HATE_4287,RGV Tharuvathe Evaraina ... RGV is Greater than Rajamouli or Anyone else ....,non-hate
HATE_4288,Vine Vallani Batti Cheppochu RGV Ki Entha Respect Istharo Vallu,non-hate
HATE_4289,Swaami Nee Attitude Ardham Chesukune Maturity EE World Ki Inka Raledhu ... May Be After 20 Years We Get That Maturity ...,non-hate
HATE_4290,Ne Failures Ni Kuda Honest Ga Accept Chesthav Andhuke Nuv Great.Normal Human Being Ki Adhi Kudharadhu,non-hate
HATE_4291,"Meeru Nijanga Great Sir ,,, RGV is very great ,,,,",non-hate
HATE_4292,Upendra Cinema Lo Hero Character RGV Real Character Same To Same,non-hate
HATE_4293,Pakka Salaar Release 28 Sep Key Prashant Neel SS Rajamouli RRR KEY BAYAPADALEY VINIKI BAYAPADUTA NA LOWDA,hate
