S.No,translated_texts,Label,telugu_texts
HATE_4247,Entha Cute Couple Abbaa .. !!,non-hate,entha cute couple abbaa..!! 
HATE_4248,Akkka this is just na birthday akka ninna and this video makes me laugh litle harder u guys are the best,non-hate,Akkka this is just  na birthday akka ninna and this video makes me laugh little harder u guys are best
HATE_4249,Meeru Nijamga Made For Eother Asalu Mi Vlogs Vlogs Vlogs Vlogs Vammo Navvi,non-hate,Meeru nijamga made for each other  Asalu mi vlogs vammo navvi navvi na kallalo nunchi water ochesindhi  hope you will do more and more videos 
HATE_4250,Geethu first navu over action vadu ok ah pubic ke over action vadu ok navu koda al,hate,Geethu first navu over action vadu ok ah pubic ke over action vadu ok navu Koda same
HATE_4251,Peethaâ€¦ idoka lavada lo Buildup,hate,Peetha … idokA Lavada lo buildup
HATE_4252,Not even admitting his mistakes .. Pichi Munda,hate, ????? ??? ?? ??????? ?????????? ????.. pichi munda
HATE_4253,Geethakka Performance Matram Apadam Ledhu Ga ..... Mental DI,hate,Geethakka performance matram apadam ledhu ga.....mental di
HATE_4254,Geethu Ki Correct mogudu shiva dimma thirigindi geethu ki,hate,Geethu ki correct mogudu Shiva dimma thirigindi geethu ki 
HATE_4255,Next Faima should come into this position ... The game is not played without support ...,hate,Next faima ? ??????? ???? ??????... ??????? ??????? ???? ????????... Worst ?? behave ?????????.
HATE_4256,Next Faima should come into this position ... Game without support ...,hate,Next faima ? ??????? ???? ??????... ??????? ??????? ???? ????????... Worst ?? behave ????????? aha erri puku di
HATE_4257,Bowls When I Never Wash VI VIDEO VIDEO Watch Geetu Mohammed Kothi La Pettindi Moham,hate,???????? ???? ??????? ??????? ?????????? vi?????? ???? ??????????? ???? ???? ?????? kothi la pettindi moham
HATE_4258,Geethu Ni Frist Eleminate Cheyyandi Mari Ante Mari Chesthundhi,hate,Geethu ni frist eleminate cheyyandi mari ante Mari chesthundhi edhi pedha over action toy aeindhi ra babu
HATE_4259,Satya Over Action Ekuva Aindhi Arjun Paina. Papam vadi affection kuda content laga thisukundhi,hate,Satya over action ekuva aindhi arjun paina. Papam vadi affection kuda content laga thisukundhi
HATE_4260,"Ammai Maya La Padithy Ela Madhyala Out Aavtham, Papam Bali Aaipoyadu Pilla Pilla Puku Gadu",hate,"Ammai Maya la padithy Ela madhyala out aavtham, papam bali aaipoyadu pilla puku gadu"
HATE_4261,"Mustache Kosam Wait Chesi Untadu, Inni Rojulu Ee Video Cheyadaniki, Enthaina Ne Dedication Ki Hats Off Bro",non-hate,"Mustache kosam wait chesi untadu,inni rojulu ee video cheyadaniki,enthaina ne dedication ki hats off bro"
HATE_4262,There will be no problems ... Well said Kethireddy,non-hate,???? ????????? ??????? ?? ???????? ? ??????? ?????...????????.   ???? ???????? ?????????? ????????
HATE_4263,Abba said very sobering sir. Best of our friends is better than our friendsâ€¦,non-hate,????? ???? ??????? ???????? ????. ?????????? ???????? ????????  ??  ?????? ?????  ?????? ???…
HATE_4264,Bowling World Indian Team The .....,hate,??????? ?????? ??????? ???? ??..... 
HATE_4265,Final England to win All the Best England Team 2022 England Winner,non-hate,????? ?????????  ??????? ??? ?? ?????? ????????? ???? 2022 ????????? ???????
HATE_4266,Cup Pakistan De .... Good luck came together .... All the best Pakistan,non-hate,Cup ?????????? ??.... ??????? ????? ????????.... All the best ??????????
HATE_4267,"England Match Gelichindi Virat, Sky and Hardik Hrudayalu Gelicharu Anthe",non-hate,"England match gelichindi virat,sky and hardik hrudayalu gelicharu anthe"
HATE_4268,"IPL Ki Best Mana Palyers, International matches enduku waste",hate,"Ipl ki best mana palyers , international matches enduku waste"
HATE_4269,Kanisam Okka Wicket Kooda Teeyaledu Waste Galu,hate,Kanisam okka wicket kooda teeyaledu waste galu
HATE_4270,You have spoken to Madame 100% Correct Madame. Hats off to you.,non-hate,???? ???? ???? ??????????? 100% ??????? ???? ????. ?????? ??? ?? ?? ???? ????.
HATE_4271,"
Vijay Deverakonda is very perfect.",non-hate,"
????? ???????? ??????? ????????? ???? ????????? ?? ???????? ?????."
HATE_4272,Priya's comment is very good.,non-hate,?????? ???? ???? ????? ??????? ???? ????????? ?????? ???? ???????????? ???? ??????
HATE_4273,This is good for Amma Amma,non-hate,???? ???? ?????? ????????? ???? ??? ???????
HATE_4274,The snow family is a great gift to God to the Telugu people.,non-hate,???? ??????? ?????? ?????? ?????? ?????? ????? ???.
HATE_4275,Comedy Singers have a recognition of this way,non-hate,?????? ???????? ? ?????? ??????? ?? ????????? ????????
HATE_4276,"The snow family is a great gift to God to the Telugu people.
Must, to bear 0",non-hate,"???? ??????? ?????? ?????? ?????? ?????? ????? ???.
??????, ?????????????0"
HATE_4277,Nenu Drawer Esta Look I Look at Drawer Esta If I don't see my drawer siad,hate,Nenu ??????? ???? ???? ???? ??????? ????? ???? ?? ??????? siad ???????? ???????? ????
HATE_4278,Anna really smiles after many days tq anna keep doing like this,non-hate,????? ?????? ???? ????? ?????? ???????????? ?????????????  tq anna keep doing like this
HATE_4279,Anna Mee Spandhana Bagundhi,non-hate,Anna mee Spandhana bagundhi
HATE_4280,Rashmika..ante .... Asalu chiraku naaku.,hate,rashmika..ante....asalu chiraku naaku.
HATE_4281,You do very well .... you have become a fan,non-hate,???? ???? ???????? ???? ....??????? ????????? ????
HATE_4282,Saami ... Kadha Kannaa Venakaala Nuvv Cheppina Vivarana Baagundiâ€¦,non-hate,Saami... Kadha kannaa venakaala nuvv cheppina vivarana baagundi…
HATE_4283,"When he praises him as great, you should be like him",non-hate,??? ?????????? ????????????? ??? ?????? ???? ???? ?????? ???
HATE_4284,RGV Effect Valla Puri Cinemalu Anni Dobbayi.,hate,RGV effect valla Puri cinemalu anni dobbayi.
HATE_4285,vadu donga nuuv yadava,hate,vadu donga nuuv yadava
HATE_4286,Psycho Pastor vadulu,hate,Psycho pastor vadulu
HATE_4287,RGV Tharuvathe Evaraina ... RGV is Greater than Rajamouli or Anyone else ....,non-hate,RGV tharuvathe evaraina...RGV is greater than  Rajamouli or anyone else....
HATE_4288,Vine Vallani Batti Cheppochu RGV Ki Entha Respect Istharo Vallu,non-hate,Vine vallani batti cheppochu RGV ki entha respect istharo vallu
HATE_4289,Swaami Nee Attitude Ardham Chesukune Maturity EE World Ki Inka Raledhu ... May Be After 20 Years We Get That Maturity ...,non-hate,Swaami nee attitude ardham chesukune maturity ee world ki Inka raledhu...may be after 20 years we may get that maturity ...really you are amazing…
HATE_4290,Ne Failures Ni Kuda Honest Ga Accept Chesthav Andhuke Nuv Great.Normal Human Being Ki Adhi Kudharadhu,non-hate,Ne failures ni kuda honest ga accept chesthav andhuke nuv Great.normal human being ki adhi kudharadhu
HATE_4291,"Meeru Nijanga Great Sir ,,, RGV is very great ,,,,",non-hate,"Meeru nijanga great sir,,, RGV is very great,,,"
HATE_4292,Upendra Cinema Lo Hero Character RGV Real Character Same To Same,non-hate,Upendra cinema lo hero character RGV Real Character Same to same
HATE_4293,Pakka Salaar Release 28 Sep Key Prashant Neel SS Rajamouli RRR KEY BAYAPADALEY VINIKI BAYAPADUTA NA LOWDA,hate,Pakka salaar release 28 sep key prashant neel ss Rajamouli RRR key bayapadaley viniki bayapadutada na lowda
HATE_4294,"Jeeva is a typical actor !!
Not only serious and furious characters but also comedy can be a hundred and a half.",non-hate,"???? ? ?????????? ?????!!
???????, ????????? ??????? ??? ???????? ???? ?????? ?????????? ???????? ???????????."
HATE_4295,Such an actor is born again in Telugu industry,non-hate,?????? ????? ????? ???????? ?????? ??????????? ??????? ????????? ?? ??? ????
HATE_4296,Jeeva is one of the good stars of Telugu industry ....,non-hate,?????? ????????? ???? ???? ??????? ???? ???? ????....
HATE_4297,Your Anckaring Super,non-hate,?? anckaring ?????
HATE_4298,This is an interview my waste interview,hate,???? ????????? ?? waste interview
HATE_4299,Homework is very nice,non-hate,??? ????? ???? ???????
HATE_4300,Crores of education for coalition,non-hate,???? ???? ???? ???????
HATE_4301,Sound Thaginchi chudala thu dinamma yemundhira dintlo lanja la undi,hate,Sound thaginchi chudala Thu dinamma yemundhira dintlo lanja la undi
HATE_4302,Headings of direction,hate,?????? ????? ????????? ?? ???? ????????
HATE_4303,Koja Valla Number Untyy SEND ME,hate,Koja valla number untyy send me
HATE_4304,Pawan Garu Garu's Women Get In The Street,non-hate,????????? ???????? ?????? ???? ???? ?????? ????? ?????? ?? ????? ???? ????????
HATE_4305,Anna is not anxious. The water is not wasted.,hate,????? ???? ?????? ?????????.? ?????? ???? ????.??????? ???? ????? ??????.
HATE_4306,"Good luck, not to be intelligent. If people do not sleep with people",hate,??????????????? ????????????? ???? ??????? ????? ?????????? ????????  ???????. ?????? ?????????????? ???? ????? ??????
HATE_4307,NUMBER CHEPPAKUNDA RECHARGE SUPER GA CHESAV,non-hate,Number cheppakunda recharge super ga chesav 
HATE_4308,Nuvu Nijangane Pichodivi,hate,Nuvu nijangane pichodivi
HATE_4309,900% comedy in nine minute video ... Super Bro youâ€¦,non-hate,???????? ??????? ?????? ?? 900% ??????... ????? ???? ????…
HATE_4310,"Satvik, who is endangered healthy humor ....",non-hate,???????? ??????? ????????????? ?????????? ????? ????? ????????....
HATE_4311,"If you smiled and smiled, he was responding to the response",non-hate,??????? ????? ????? ????????? ???? ???????????????? ????? ????? ????
HATE_4312,Prathi Scene Prathi Shot U Mind Pothundhi Amma Baboy Awesome Script Selection,non-hate,Prathi scene prathi shot u mind pothundhi Amma baboy Awesome script selection
HATE_4313,After this video I became a big fan of Nuku Bro Supur,non-hate,? ?????? ?????? ???? ???? ????? ??????? ??????? ???? ??????
HATE_4314,Super Brother Comedy Kek 1000% Comedy Video,non-hate,????? ?????? ?????? ?????  1000% ?????? ??????
HATE_4315,You are our Palita God,non-hate,?????? ?? ????? ?????? ????
HATE_4316,Annaaaaa navvii navvvii stomach pain vachindhi,non-hate,Annaaaa navvii navvvii stomach pain vachindhi 
HATE_4317,Chala Bagundhi Anna,non-hate,Chala bagundhi anna
HATE_4318,Super Anna Your Videos Your Words I like Very So I Like So Subscribe to Your Channel,non-hate,????? ???? ?? ???????? ?? ????? ???? ???? ???? ????? ?????? ?? ????? ???????????
HATE_4319,Telangana ethnic gems ...,non-hate,??????? ???? ???????... ???????
HATE_4320,"Veedu Em Chestunadu Ra Ante I Want To Understand His State Of Mind """,non-hate,"veedu em chestunadu ra ante I want to understand his state of mind"".. kantlo neellochinay navvi navvi devudaa...!!"
HATE_4321,"""Kejif"" is a film that gives a man lonely and brave to fight the circumstances.",non-hate,"""???????"" ????? ??????????? ???????? ???????????? ?????? ?????????? ?????? ????? ??????.""???????"" ????? ???????????, ????? ?????????? ?????????? ?????? ??????? ???? ??????????  ????? ???? ??????."
HATE_4322,Hello Madame Upendra Don't Make Low .... Tell your news .. Ledha Davada Pagalipotundi,hate,??? ???? ??????? ?? ???????? ??????? .... ?? ?????? ????????..ledha davada pagalipotundi
HATE_4323,Tiger NTR Anna is coming in 2023,non-hate,???? ?????? ?????? ???? 2023?? ????? ???????? Anna ???????????
HATE_4324,Puku Lo is on a good chill,hate,????????? ????? ?????? ????? ??????? ???????? puku lo ???? ??? ??? ?????
HATE_4325,Every scene ... every shot .... Awesome inside,non-hate,????? ????... ????? ????....??? ??????? ???? awesome
HATE_4326,How many people missed the song in Lost,non-hate,?????? ?? ????? ??? ???? ???? ??????? ????
HATE_4327,"Madyao Madyalo Aha Sound Vere Level..ee Aunty Ekkada Dorikindi Bro Vadaletlduga ..
Gap ekkuvindi bro",non-hate,"Madya madyalo aha sound vere level..Ee aunty ekkada dorikindi bro vadaletlduga..
Gap ekkuvindi bro"
HATE_4328,Vaanchi padidhengu bro,hate,Vaanchi Padidhengu broo
HATE_4329,"If you do not come today, you want to get in the paper",non-hate,???? ??????? ????? ???? ??????? ??????? ???????? ????????  ?????
HATE_4330,Enni rojulu ayindi anna ne video chusi,non-hate,Enni rojulu ayindi anna ne video chusi
HATE_4331,What ID is the name of the name of it,non-hate,?????? ???? ???? ??? ???? ??? ?????? 
HATE_4332,Cousin Law to Karna in Donation ...,non-hate,?????? ????????? ????? ??... ????? ???????? ?? ???????????
HATE_4333,Return lo Bocha Nuvvu Theeskoni Unte Super Laughter Vachedhi Bro,non-hate,Return lo bocha nuvvu theeskoni unte super laughter vachedhi bro
HATE_4334,Sigu lenu edava laga without anything on the brother's shit,hate,????? ?????????????? ?????? ???? ??? ??? ??????? sigu lenu edava laga
HATE_4335,This is what happened according to a plan,non-hate,??? ?? ?????? ??????? ?????????? ???? ??? ????
HATE_4336,I could not laugh,non-hate,??????? ???????
HATE_4337,Mind blow.anna.ekum..baga chesaru .. acting iddaru ... Super Anuko Annnaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,non-hate,Mind blow.anna.ekum..baga chesaru.. acting iddaru... super anuko annnaaa
HATE_4338,"After the Media Devolop, every girl is a heroine who thinks Performance Trolls are very useful.",non-hate,Media devolop ?????? ????? ??????? ???????? ??? ??????? ???? performance trolls ?? ???? ???????????????.. ????? ????????????? ??????? ???? ?? similar video ????? great.
HATE_4339,Chaala Disappointed Mood Lo Intiki Vacha Bro Mind Antha Free Aipoindhi,non-hate,Chaala disappointed mood lo intiki vacha bro mind antha free aipoindhi
HATE_4340,BRO If I eat the monsters ... serious ...,hate,???? bro ??? ???? ?????? ??????... Serious ???????????.... ??????? ?????? enjoy ????????????.. lawda gala 
HATE_4341,There are similar words in the original English movies.,non-hate,???? ???????? ???????? ???? ?????? ????? ??????. 
HATE_4342,Atlunttadhi Palanadu Thitlantte Sarrigga Deggutam,hate,Atlunttadhi palanadu thitlantte sarrigga deggutam
HATE_4343,Na Ears Lonundi Blood Leak Ayindhi Lanjalu Kompa Lo Dialogue Vini,hate,Na ears lonundi blood leak ayindhi lanjalu kompa lo dialogue vini
HATE_4344,Shiva..Siva..A..An it ..,non-hate,???..???..?..???????????????..
HATE_4345,Case on this web series ...,hate,? web series ??? case ???????...???? ? ?????..
HATE_4346,Dengav ga video,hate,Dengav ga video
HATE_4347,Ninnu Dengestanu,hate,Ninnu dengestanu
HATE_4348,Telugu Industry Na Modda Kudavandi Ra,hate,Telugu industry na modda kudavandi ra
HATE_4349,You should be with us.,non-hate,????????? ???????? ?????? ?????? ????????.
HATE_4350,"At this age, how many farms are boasted",non-hate,? ???????? ??? ??????? ???? ????????? ????? ?????? ????????
HATE_4351,You are the masculine race sir,non-hate,????? ???? ????????? ???? ????
HATE_4352,You should be God .. and we have to live for 1000 years ...,non-hate,???? ?????? ?????.. ???? ?? ??????? ???????? 1000 ?????????? ??????... 
HATE_4353,Kindha Midha upu Doctor samaram sir thopu,non-hate,Kindha Midha Upu Doctor Samaram Sir Thopu 
HATE_4354,You are god sir,non-hate,???? ?????? ????
HATE_4355,Meeru EE Subject Lo God Sir. Maaku EE Subject Lo Meeru Cheppinantha Correct Clear Solution Evaru Leru,non-hate,Meeru ee subject lo god sir. Maaku ee subject lo meeru cheppinantha correct clear solution evaru leru
HATE_4356,"kani, ekkuva cheste alasata, weakness, body peragaka povadam, teenage lo tarvata kuda face paina gaddalu pimples ravadam nijam...better keep it two-three times a week..get busy and focus on your studies and career guys.",non-hate,"kani, ekkuva cheste alasata, weakness, body peragaka povadam, teenage lo tarvata kuda face paina gaddalu pimples ravadam nijam...better keep it two-three times a week..get busy and focus on your studies and career guys."
HATE_4357,"The king should be the things you don't know! Very very well explained. If you watch the videos you say in the Yu Tube, every man can live comfortably. You are a gift that God has given to this society",non-hate,???? ??????? ??????? ???? ????? ???? ????! ???? ???? ?????? ??????????. ?? ?????? ???? ?????? ???????? ???? ????????? ???? ????? ????? ?????? ??????? ?????? ?????. ???? ? ????????? ?????? ?????? ???
HATE_4358,Sir Mimal is a hill courage,non-hate,???? ??????? ????????? ?????? ?????? ????????
HATE_4359,LIVING LEGEND SIR MIRU,non-hate,Living legend sir miru
HATE_4360,Vishwak seems to be over -action.,hate,??????? ???? ??????? ????????????.
HATE_4361,", Viswak's groove is high. This is not a good method",hate,",??????? ?????? ???? ??????????.??? ???? ?????? ????"
HATE_4362,"If you cheat like you like you, he will never come up with sir",non-hate,?? ????? ?????? ???? ?????? ???? ???????? ???? ???? ????
HATE_4363,Thanksgiving madam,non-hate,??????? ????
HATE_4364,Varicocel Gurinchi Explain Cheyandi Madam,non-hate,Varicocel gurinchi explain cheyandi madam
HATE_4365,Man Vericocile Vunnavallaki Kuda Count Peruguthunda,non-hate,Man vericocile vunnavallaki kuda count peruguthunda
HATE_4366,"Biya has a valuable meaning in every poison you tell. I have not read the Holy Bhagavat Gita so far, but everything you say is based on the Holy Bhagavat Gita.",non-hate,???? ?????? ????? ???????? ?? ??????? ????? ??????? ????? . ???? ????????? ????? ??????? ?????? ????? ??? ??????? ???? ???? ?????? ????? ????? ?????? ????? ??? ??????? ????????? ???????????????.
HATE_4367,Mammalni Eppatnundo Motivate Chesthune Untunnav Bro..Baguntav,non-hate,mammalni eppatnundo motivate chesthune untunnav bro..baguntav..maa andhari aasisulu theesukuni chala baguntav
HATE_4368,Jai Sri Krishna is very happy to be usefulâ€¦,non-hate,?? ???? ????? ???? ?????? ???? ?????? ???????? ?????…
HATE_4369,Very well said .. The first example is that it is .... not normal ... Super original,non-hate,???? ???? ???????? ????.. ????? ?????? ????? ??? ??????.... ???????? ????... ????? ????
HATE_4370,Clear GA Explain Chestaru Chala Manchiga Artham Avuthundi,non-hate,Clear ga explain chestaru chala manchiga artham avuthundi
HATE_4371,What a madam is it that you like how much respect you are interviewed with such people,hate,???? ???? ??? ???? ???? ??? ????? ????? ?????? ??????? ???? ????????? ???????? ???? ????
HATE_4372,"Amma ... Kritika .. This time when he comes to him, he comes with a weapon and chava deng .. The case will be put on me ..",hate,?????... ?????.. ????? ???? ??????? ????? ??????? ????? ?????????? ?? ????? ??? ?????.. ???? ?? ??? ?????????.. ???????? ??????????..
HATE_4373,Wadi's face looked in the mirror and spoke to Manu Prakash Raju Gary,hate,???? ???? ??????? ?????? ??? ??????? ???? ???? ?? ??????????
HATE_4374,If the name of a psychopathic patient is the first your name on the list,hate,?????? ???? ??? ???? ????? ?????? ?? ????? ?? ???? ????? ???
HATE_4375,Mundhu Veeni Interview Chesthunna Channel Vallani Thannali,hate,Mundhu veeni interview chesthunna channel vallani thannali
HATE_4376,Mentel Gadini tesuku vachi kurcho pettukunnaru enti anker garu,hate,Mentel gadini tesuku vachi kurcho pettukunnaru enti anker garu
HATE_4377,Krittika garu vadine chepu tho kothandi live lo ....,hate,Krittika Garu Vadine Chepu tho Kothandi Live Lo....
HATE_4378,"Intha pichi ekkada chudaledu,",hate,"Intha pichi ekkada chudaledu,"
HATE_4379,Yeediki Prathi Kshnam Third Degree Pettali Yee Sollu Poyenthavaraku,hate,Yeediki prathi kshnam third degree pettali yee sollu poyenthavaraku
HATE_4380,Vacharuu thikdhi thikkoduu,hate,Vacharuu thikdhi thikkoduu
HATE_4381,Veedemma Veedi lssge waste dhi,hate,Veedemma veedi lssge waste dhi
HATE_4382,Picchodini Interview Endhuku Chesthunnaru May Be TRP KOSAMA,hate,Picchodini interview endhuku chesthunnaru may be TRP kosama
HATE_4383,Orei ....... You did not even do the blacksmith to the guys who told you black magic,hate,?????.......???? ?????? ?????????? ?? ???????? ? ?????? ???? ?????? ?? ?????????
HATE_4384,Shiva's patience is really Hatsoffâ€¦,hate,??? ???? ??????? ?????? ?????? ??????????…
HATE_4385,This is the only interview I like in all your interview,non-hate,?? ????????? ????????? ???? ?????? ????????? ??? ?????? ????
HATE_4386,It is very proud to come to a similar level .It is very happy to see it today.,non-hate,?? ??????? ????? ?????? ???????? ????? ???? ???????????????? .??? ????? ?????  ???? ???????? ???? .
HATE_4387,Very Funny .... Tirupathi Language Yaasa Dimpaadu ... He has very good natural making sense of humor ...,non-hate,Very funny.... Tirupathi language Yaasa dimpaadu...  he has very good natural making sense of humour... Hope to see him soon in Jabardast
HATE_4388,6 feet deep 2 feet wide to anyone,non-hate,6 ?????? ???? 2 ?????? ??????? ???????? ???????
HATE_4389,Shiva Gari Smile Ki Fidaa..Mee Anchoring Super Sir..Nenu Macha Cheppe Answers,non-hate,"Shiva gari smile ki fidaa..mee anchoring super sir..nenu macha cheppe Answers kante meru iche smile ne chusthu undipoyanu..your voice,  your style of anchoring awaysome"
HATE_4390,Macha ki boothulu vachu kani ladies mundu vaddu anta,non-hate,Macha ki boothulu vachu kani ladies mundu vaddu anta
HATE_4391,Macha Songs EM PAADADU ABAA,non-hate,Macha songs em paadadu abaa
HATE_4392,Shivagaru your anchoring is very good .. simply superb ... u have a bright futureâ€¦,non-hate,??????? ?? anchoring ???? ???? ???????..simply superb...u have a bright future…
HATE_4393,Macha Anna Lo Oka Singer Unnadu ..... Bayataku Rappinchandi Bayya ...... Macha Anna Oka Famous Singer Avuthaaru,non-hate,Macha anna lo oka singer unnadu.....bayataku rappinchandi bayya......macha anna oka famous singer avuthaaru
HATE_4394,Siva Anna Meeru Great Chala Opikatho Interview Chesaru Haatsaup Anna Meeru Great Anchor,non-hate,siva anna meeru great chala opikatho interview chesaru haatsaup Anna meeru great Anchor
HATE_4395,Cinemalo Comedy Kante Edi Picha Comedy Navvi Navvi Navvi Kadupu Noppu Noppi Vachindi Really Supper Video Supper Interview,non-hate,Cinemalo comedy kante edi picha comedy  navvi navvi kadupu noppi vachindi really supper video supper interview  elantivi Inka cheyandiiiiii all the best
HATE_4396,Anna and Kalvakuntla's family will be heard that the entire jail will be lost.,hate,"????, ?????????? ?????? ?????? ???? ?????? ??? 15 ???? ????? ???????????..?????? ???? ??????, ??????? ???? ??? ??? ???????? ?????? ????"
HATE_4397,The king of the gum is our king,non-hate,????? ???? ????  ?? ??????
HATE_4398,The younger brother of the asceticism,hate,??????? ?????? ???????
HATE_4399,Radhakrishna Garu Akkella Raghavendra Your Interview. We are looking forward to it.,non-hate,????????? ???? ?????? ????????? ???? ?? ????????? ??????. ???? ???????  ????? ????????????.
HATE_4400,Rajagopal Reddy Komatireddy is also a Warrior,non-hate,???????? ???? ????????? ?????? ??????????? ?? ??????? 
HATE_4401,The Leader is our Rajanna,non-hate,???????? ????? ?? ??????
HATE_4402,Legend Rajagopal Reddy is a very simple man who has no,non-hate,??????? ????????? ?????? ??????? ???? ??????? ???? ??????? ?????
HATE_4403,"The ideal political leader, however, said he would take political asceticism. What happened",non-hate,???????? ????????? ????? ????? ?????? ??????? ??????????? ????????. ??????
HATE_4404,Pedavallaku Apadha Vasthe Vasthe Velli Sahayam Chese Goppa Leaders,non-hate,pedavallaku apadha vasthe ventene velli sahayam chese goppa leaders komatireddy brother's  dammunna leader rajanna ma balam ma dhairyam ma pranam komatireddy brothers
HATE_4405,Nacchindi Awesome Super for how many people acting getup scene,non-hate,????? ???? acting ???? ?????? nacchindi ??????? super
HATE_4406,Super Super Super Super Extra,non-hate,????? ????? ????? ????? ????????? ????? ???????????? ?????? ???? ?????? ??????
HATE_4407,Love u Bro Jai Megastar ...,non-hate,????????? ?????? ????... Love u bro ?? ??????????
HATE_4408,Sreenu Gary Getup & Dialogue Super Andy ... Auto Ram Prasad Auto Panches,non-hate,?????? ???? ????? & ?????? ????? ????... ??? ???? ??????? ??? ??????
HATE_4409,Chiranjeevi's voice in this content would be better .. Skit Super,non-hate,? ??????? ?? ???????? ???? ?????? ??????? ???? ?????????.. ?????? ?????? ?????
HATE_4410,Manava Rupamlo Vunna Devudu Mana Megastar,non-hate,Manava rupamlo vunna Devudu mana megastar
HATE_4411,Srinu Nee Acting is gone,non-hate,?????? ?? ????????? ????? ???????
HATE_4412,Getup Shenu Wow Super Man Megastar Body Language As It Issu Super,non-hate,????? ???? ???? ????? ???? ?????????? ???? ????????? ???? ??? ??? ????????? ????? 
HATE_4413,Eni Puri Nuvvu Entha Knowledge Gain Chestavu.,non-hate,Enti Puri nuvvu entha knowledge gain chestavu.
HATE_4414,Saami ... Kadha Kannaa Venakaala Nuvv Cheppina Vivarana Baagundi ..,non-hate,Saami... Kadha kannaa venakaala nuvv cheppina vivarana baagundi..
HATE_4415,LIFE LO OKASRI INA KALAVLI DARLING NINNU,non-hate,Life lo okasri ina kalavli darling ninnu
HATE_4416,Jungle Naa Kodaka .. Aa Maatallo Entha Ardham Undhandi,hate,Jungle Naa kodaka .. aa maatallo entha ardham undhandi
HATE_4417,Shiva Anna Nuvvu Entha Try Chesina ... she didn't loose her confidence and attitude.,non-hate,Shiva anna NUVVU entha try chesina ... She didn't loose her confidence and attitude .
HATE_4418,The song is a DieHard fan with this one interview,non-hate,??? ???? ? ???? ????????? ?? ???? diehard ?????? ??????
HATE_4419,Nenu e stage raavadaniki karanam .... e stage vesinollaa,non-hate,Nenu e stage raavadaniki Karanam ....e stage vesinollaa
HATE_4420,Dhini chusathey chalu nadhi solla legisipothundhi,hate,Dhini chusathey chalu nadhi solla legisipothundhi
HATE_4421,NUV MIA KHALIFA NA Sarayu Pedda Figure Needhi,hate,NUV MIA KHALIFA NA SARAYU pedda figure needhi
HATE_4422,Sarayu ni mingalra,hate,Sarayu ni mingalra
HATE_4423,"As long as the muscles, the Beauty and Strength, we will talk about it, and they can be left after knowing the fade out of the fade",hate,"?????,??????????? beauty and strength ???????????,??? ?????? ???????????, ??? ????????? fade out ??????????? ?????? ????????? ?????? ????"
HATE_4424,"Getting too Early from the Bigg Boss Show has been a little disappointed.
Smoking seemed to be the main reason for elimination.",non-hate,"???? ???? ?? ????? ??? ??????? ??????? ?????? ?????????? ???????????.
?????????? ?? ????????? ????? ????? ???????????."
HATE_4425,"Deendi Length, Breadth, Depth, Boops Baaguntundi, Sundlu Superb.",hate,"Deendi length,breadth,depth,boops baaguntundi,sundlu superb."
HATE_4426,"Pelli Meeda Naku Chala Dreams, Respect Vundedhi ITLANTI Interviews",non-hate,"Pelli meeda naku chala dreams, respect vundedhi itlanti interviews chusinappudalla pelli chesukokunda vundadame manchidi anipistundhi"
HATE_4427,The narrative of the characters is clearly explained .. so I watch PS1 movie,non-hate,?????? ???? ????????? ?????????????.. ??????? ???? ps1 ?????? ????????
HATE_4428,What you said is better than what you watch the movie Madame,non-hate,?????? ????? ????????? ???? ????????? ???? ????? ???????? ????
HATE_4429,"He explained that the novel and the cinema are very good, without confusion.",non-hate,"???? ?????? ,????? ??????? ??? ???, ?????? ??? ?????? ???????? ??????????.??????????."
HATE_4430,"All the youth, even if we are educated, they will do so rather than the ruling parties come to power.",hate,??????? ????? ????? ????? ??????????? ???? ?????? ?????? ??? ??????? ????? ??? ??????? ???? ????? ?? ??????? ??? ???????? ?????? ????? ???????????
HATE_4431,Very nice .. BJP Ni Tarimi Dengandhi Telangana Nundi,hate,Very Nice.. BJP ni tarimi dengandhi telangan nundi
HATE_4432,Sky Kohili Valle India Semis Ki Vachindhi,non-hate,sky kohili valle india semis ki vachindhi
HATE_4433,Krishna Garu should live. We have been watching since childhood.,non-hate,????? ???? ????????.?? ?????????? ????? ???????????.????? ???????? ....
HATE_4434,Navuthunava potti noodles chalu ra e janmaki,non-hate,?navuthunava potti noodles  chalu ra e janmaki
HATE_4435,Goodmorning to Happy Sunday,non-hate,????????????? to ?????? ????
HATE_4436,"Jai Shah
He is destroying",hate,"Jai shah
????? ????????????"
HATE_4437,Modi is bending his head in front of Modi,non-hate,???? ?? ???????? ??? ???? ????? ?? ???? ??????? ???????????? ????
HATE_4438,These anarchy is a leader who can stop. Only Pawan Kalyan.,non-hate,? ???????? ??????? ??????? ???? ???????. ????? ???? ??????? ???? ???????.
HATE_4439,Want to be pics of pics of pics ...,non-hate,?????? ???? ?????? ???? ??? ? ??????? ?????... ???????????? ????? ???? ?????
HATE_4440,"All the anti -government news ..
The soul seems to be the refuge of murder",non-hate,"????? ???????? ???????? ???????.. ?????????? ?? ? ??????? ??????,
???? ????? ?????? ????????????"
