S.No,Comments,Label,
HATE_3777,సినిమాని ఎంత అందంగా...ఎంత హృద్యంగా...తీయవచ్చో....తీసి నిరూపించిన హను రాఘవపూడి గారికి శిరస్సు వంచి కృతజ్ఞతా భావంతో నమస్కరిస్తున్నాను.,non-hate,
HATE_3778,"మొన్నామధ్య ఒక గమ్యం, నిన్న ఒక మళ్ళీ మళ్ళీ ఇది రానిరోజు , నేడు ఈ సీతారామం. నిజంగా హృద్యమైన సినిమాలు. ఇలాంటి సంస్కారవంతమైన సినిమాలు కూడా అప్పుడప్పుడూ రావాలి. జనాలు బాగా ఆదరించాలి",non-hate,
HATE_3779,సినిమా చూస్తున్నంత సేపు ఏదో మనసుకు తెలియదే ఆనందం,non-hate,
HATE_3780,సూపర్. పాట.,non-hate,
HATE_3781,ఇ సినిమా మంచి విజయాన్ని సాధించాలి అని మనస్పూర్తిగా కోరుకుంటున్న ,non-hate,
HATE_3782,ఈ పాట ఎంత మందికి ఇష్టం... ,non-hate,
HATE_3783,దేశం కోసం ప్రాణాలు అర్పించిన ఎంతో మంది సైనికులను తలచుకుంటూ జై హింద్ ,non-hate,
HATE_3784,"పుట్టడం అంటూ జరిగితే అది రైతు కుటుంబంలోనే పుట్టాలి,చావడం అంటూ జరిగితే అది భారత సైనికుడిగానే చావాలి... ",non-hate,
HATE_3785,"IPC లో ఉన్న చట్టాలను , రూలింగ్ లో ఉన్న ప్రభుత్వ లకు అనుగుణంగా మరుస్తర...?",hate,
HATE_3786,Kcr great అందుకేప్రదానిని వద్దన్నాడు,non-hate,
HATE_3787,ముందు దాన్ని తరువాత వాడిని చెప్పుతో కొట్టాలి,hate,
HATE_3788,బ్లూ ఫిల్మ్ బ్యాచ్ మొత్తం యూట్యూబ్ లో దిగారు.. ఏంట్రా ఇది ,hate,
HATE_3789,మీ అమ్మగారి వయసు ఉంటుంది ఆవిడకు,hate,
HATE_3790,ఈ మధ్యకాలంలో బయట చాలా ఘోరాలు జరుగుతున్నాయి ,non-hate,
HATE_3791,ఏందిరా ఇది యూట్యూబ్ అనుకున్నారా ఇంకేమన్నానా ,hate,
HATE_3792,ఇలాంటి వీడియోస్ కి మనం లైక్ వేసి ఇంకా వాళ్ళని ప్రోత్సహిస్తుంది ఫస్ట్ వీడియోకి లైక్ చేయడం మానేయండి,hate,
HATE_3793,ముందు ఆడదానికి సిగ్గు ఉంటే చెంప పగలగొట్టాలి ,hate,
HATE_3794,బాగున్నారు తల్లి కొడుకులు స్టోరీ,non-hate,
HATE_3795,వీడియో తీసినాను కొట్టాల వీన్ని కొట్టాల దాని కింద వేసి కొట్టాల,hate,
HATE_3796,మీరు ఈ లంటి వీడియో పేట్టికంధి బ్రో మీవల్ల ప్రజలు కూడా చేడీ పోతరు,non-hate,
HATE_3797,ఏం చెప్పాలనుకుంటున్నారో సమాజానికి,hate,
HATE_3798,"వ్యభిచారి లాగా ఉంది , వేదేవడో హౌలె గాడు",hate,
HATE_3799,ఇది యూ ట్యూబ్? లేక బ్లూ ఫిల్మ్స్ ట్యూబ్?,hate,
HATE_3800,నీకు దాన్ని చూసి ఎలాగ చెయ్యాలని అనిపిస్తుంది. చాలా కరువులో ఉన్నటు వున్నావు.,hate,
HATE_3801,Deeni ki samma ga vundi,hate,
HATE_3802,సమాజం ఎటు పోతుంది,hate,
HATE_3803,ఆమె నీ తల్లి అయితే ఇలాగే చేస్తావా,hate,
HATE_3804,తు.. మీబతుకులు చెడ మీవాళ్లు చూస్తే పరువు మిమల్ని ఎ డారిలో వదిలేయాలి అ పుడూ బుద్ది వస్తుంది,hate,
HATE_3805,ముందుదనీచేపుతోకటలీతరువతవడీనికోటలీఅసాలుచీగూఉందధనికి,hate,
HATE_3806,ఎవరి బ్రతుకు వాళ్ళది మరి ఇంత పబ్లిక్ చేయాలా... రిప్ సొసైటీ....,hate,
HATE_3807,ఆమె ఎజ్ ఎంత బాబు ఏజ్ ఎంత ఆసరమ్మ ముండ్డాకు,hate,
HATE_3808,సరచాలు చాలు.... నీకేం పోయే కాలమే వాంతో చేపించుకుంటావు,hate,
HATE_3809,ఏముంది దాని ధగ్గరా ? సల్లూ పచ్చడి అయిపోయాయి.,hate,
HATE_3810,అసలు ఏం ఉంది రా అక్కడ పొట్ట ఒకటి ఉంది అక్కడ,non-hate,
HATE_3811,ఎందులో పెడుతున్నావ్ రా వేలు,hate,
HATE_3812,ఎందుకు ఇద్దరు బెడ్ రూం కి పోండి మొత్తం విప్పేసి చూడు బాగుంటది,hate,
HATE_3813,ఒరేయ్ ముసిల్డాన్ని కూడా వదల వారా,hate,
HATE_3814,ఇలాంటి చేత విడేయేలను support చేసినను మరడి,hate,
HATE_3815,ఇలాంటి విడియెలు చేసి మగాళ్ళను రెచ్చగొట్టే స్తున్నారు,hate,
HATE_3816,ఇలాంటి వీడియోస్ చేస్తుంటే మీ ఫ్యామిలీ లో ఆడవాళ్లు గుర్తుకు వస్తలేరా రా..బ్లూ బ్యాచ్ గా.. దాన్ని తన్నాలి ఫస్ట్ ఈలాంటి వీడియో కీ ఒప్పుకున్నందుకు,hate,
HATE_3817,ఏందిరా ఎవరితో అది? దానితో ఏందిరా కథలు,hate,
HATE_3818,అరేయ్! అది మాకెందుకు చూపిస్తున్నవ్ రా ?,hate,
HATE_3819,అబ్బా బొడ్డు ఇంత పెద్దగా ఉంటే బొక్క సముద్రం లాగా ఉంటాదేమో?,hate,
HATE_3820,సిగ్గు లేకుండా పోయింది రా,hate,
HATE_3821,ఆ ఏజ్ లో ఎమ్ డాన్స్ అన్న అది నీ energy కి సలాం అన్న ,non-hate,
HATE_3822,మిస్ యు అప్పు సర్... నిజమైన రియల్ హీరో మీరు,non-hate,
HATE_3823,ఇందుకు కాదు మిమ్మల్ని పవర్ స్టార్ అనేది పునీత్ సార్ ,non-hate,
HATE_3824,అన్న నీకు కుాడ నేను పెద్ద అభిమానిని డ్యాన్స్ కేకా,non-hate,
HATE_3825,మీరు మాకు దూరం అవ్వడం మా దురదృష్టం ,non-hate,
HATE_3826,మీరు లేరని నోటు ఎవరు తీర్చలేరు అన్న,non-hate,
HATE_3827,జప్తలక్ సూరజ్ చాంద్ రహేగా అప్పు బాయ్ అమర్ రహే గా,non-hate,
HATE_3828,నా జీవితంలో ఇంత మంచి మనిషిని చూడలేదు ,non-hate,
HATE_3829,నిజమైన హీరో నా అప్పు సార్,non-hate,
HATE_3830,మీరు మాకు దూరం అవ్వడం మా దురదృష్ట మీరు మళ్ళీ పుట్టాలని కోరుకుంటున్నాం ఐ మిస్ యు సర్,non-hate,
HATE_3831,యెవరు పూనిత రాజు గారు దూరం అయ్యారు అన్న వద్దు  మనం జీవిస్తున్నం అంటే అయిన మన మధ్య జీవిస్తూ ఉన్నారు ప్లీజ్ యెవరు అలా అనవద్దు,non-hate,
HATE_3832,Intha chinna vayasulo mimmalni kolpovadam chala sad anna,non-hate,
HATE_3833,ఆంధ్రకు పవన్ సార్ కన్నడకి పునీత్ సార్,non-hate,
HATE_3834,Vera level sir,non-hate,
HATE_3835,మీరు మళ్లీ పుట్టాలి సార్ మిస్ యు సార్,non-hate,
HATE_3836,బాలయ్య బాబు.. Super ,non-hate,
HATE_3837,రాయలసీమ సింహం బాలయ్య బాబు ,non-hate,
HATE_3838,నటనలో నరసింహుడు అవతల వాళ్ళని గౌరవించడం లొ మహాదేవుడు ,non-hate,
HATE_3839,రాజసం అంటే అలా ఉండాలి..,non-hate,
HATE_3840,పులివెందుల పులి రాయలసీమ సింహం నందమూరి బల కృష్ణ,non-hate,
HATE_3841,Gattiga plan chesav gopichand mama,non-hate,
HATE_3842,వీడు ముసలోడు అయిపోయాడు,hate,
HATE_3843,కరోనా వచ్చి జనాల్ని ఒక రకంగా సంపుతుంటే. ,hate,
HATE_3844,మా అడ్డపిల్లలు కి నీ చూసే అదృష్టం ఉండదు కాబట్టి ఇలా చూసినందుకు ధన్యవాదాలు తెలుపుకుంటున్నాను.....,non-hate,
HATE_3845,చాలా పద్దతి గా ఉన్నారు,non-hate,
HATE_3846,ఊహ గారు మీ అమ్మాయి మీ లాగే ఉంటుంది,non-hate,
HATE_3847,ఊహ గారు.కూతురు చాలా పద్దతిగా ఉన్నారు.సూపర్,non-hate,
HATE_3848,సంస్కారవంతమైన కుటుంబం,non-hate,
HATE_3849,Family mottam beautiful GA vunaaru,non-hate,
HATE_3850,"అచ్చం అమ్మ లాగే వుంది, ",non-hate,
HATE_3851,ఈ అమ్మాయిని సినిమాలోకి అసలు వద్దంటే వద్దు ,non-hate,
HATE_3852,ఈ కాలం లో ఎక్కడా కనిపించని వోణీలు,non-hate,
HATE_3853,పూర్తిగా విన్నారా...అయన స్పీచ్ లో ఎక్కడైనా 3 రాజధానులు మాట ఉందా... మీ పచ్చ రంగు పోదు,hate,
HATE_3854,నువ్వు అడుగుపెట్టిన కానించి ఆంధ్ర ప్రదేశ్ అప్పుల ప్రదేశ్ అయిపోయింది,hate,
HATE_3855,vidiki emina teliste kada em undo chepadaniki pm ki chetulu kattukoni kurcho ra,hate,
HATE_3856,"​ఇప్పుడు వీడు చేసే గాయాలే ఎక్కువ, దరిద్రపు సీఎం",hate,
HATE_3857,​చేసింది చెప్పడం మానేసి ఈ సీఎం పద్యాలు పాడి డైలాగులు చేబుతాడేంటి,hate,
HATE_3858,"రాష్ట్ర విభజన హామీ ప్రకారం రైల్వే జోన్, ప్రత్యేక హోదా, చెన్నై విశాఖపట్నం సీ కారిడార్, స్టీల్ ప్లాంట్ పునరుద్దరణ మొదలగు హామీలు మిగిలే ఉన్నాయి",hate,
HATE_3859,nduku puttav ra Babu nuv Andhra Pradesh lo.. maa karma,hate,
HATE_3860,Abhaa yenni rojulu ayyindhi  Ilaa chosi idharini,non-hate,
HATE_3861,Mali denthonoo Penta petesadu,non-hate,
HATE_3862,డాన్స్ చాలా చక్కగా చేసింది అమ్మాయి,non-hate,
HATE_3863,ఇది కూడా పిచ్చి డాన్సులు కి ఒప్పేసుకుంది. తు దీనమ్మ. ఆడది అంటే గౌరవం పోతోంది.,non-hate,
HATE_3864,Blockbuster song ni entha direct ga copy kotteaav ga thaman ga ,hate,
HATE_3865,Ayyo rama idhenna dance adhuku mela keerthi ya paaka mudiala. Looks weird,hate,
HATE_3866,Nivedha gurinchi matladam marichipoyi thanni chusi gurthukochi Mike kosam vethukadu.....aa time lo.......dhaniki kullutharendhira,non-hate,
HATE_3867,Pavan Kalyan antey oka power oka dairyam,non-hate,
HATE_3868,మన పవన్ కళ్యాణ్ గారి దగ్గర ఉన్న గొప్పతనం ఇదే ,non-hate,
HATE_3869,Abba pk anna ventane photo digudhamu ani ante nivedha akka expression chudali️. Jai pspk,non-hate,
HATE_3870,"Nivedita eyes lo anandam choodandi great, Everest ekkinantha anandam.",non-hate,
HATE_3871,మీరంటే నాకు చాలా అభిమానం ఇష్టం పవన్ కళ్యాణ్ బావగారు జీవితంలో ఒక్కసారైనా మీకు దగ్గరగా సెకండ్ ఇవ్వాలని న ఆశ,non-hate,
HATE_3872,Nivetha konni interviews lo aa time lo Rajinikanth garithi movie chestunna idem peddha movie kanattu matladindhi.she was not greatful to act in PSPK's movie.,non-hate,
HATE_3873,Pspk vachi photo dhigudham antey aa excitement ey veru adhi clear ga nivetha face lo kanipisthunadhi,non-hate,
HATE_3874,Veedu dinni kuda vadili vundadu,hate,
HATE_3875,పొలిటికల్ లో అడుగు పెట్టాకా యెవ్వడు ఏం అన్నా నోరు మూసుకుని ఉండాలి. ,hate,
HATE_3876,Akariki netho cenema thisina valani kuda vadaladam ledu antha pachipoye edusthunadu yedava,hate,
HATE_3877,చెయ్యి దొరకాలి గాని వదలడు.. అదే గొప్పతనం,non-hate,
HATE_3878,పవన్ కళ్యాణ్ ప్రజల నాయకుడు ,non-hate,
HATE_3879,Akka jagarthaa aaa pawala gadi tho room Loki lakkoni veltaduuu,hate,
HATE_3880,Cheyi vadhalara kama pisachi,hate,
HATE_3881,అదే AP లో CM కూడా అవ్వవచ్చు,non-hate,
HATE_3882,Ladies over action chesthunnaru,hate,
HATE_3883,Pattinava papa industry lo ipude lesthudi ra chi marav ra,hate,
HATE_3884,ఫస్ట్ ఆమె చెయ్యి వదలరా బాబు కామాపిశాచి,hate,
HATE_3885,చెయ్యి వదులు రా ఫస్ట్,hate,
HATE_3886,Cheyi vadulu raa babu...4 peli cheskuntava emi,hate,
HATE_3887,Sir nani koncham feel avvuthunaru sir,non-hate,
HATE_3888,మా రాష్ట్రానికి మేము అడిగినప్పుడు మీరు వె౦ట వె౦టనే అప్పులు ఇవ్వడం మాత్ర౦ మరచిపోక౦డి !!!,non-hate,
HATE_3889,​Avado rasindhi sadavadam appudu manathavo appudu bagupadathav,hate,
HATE_3890,​Ap state nu sarwa nasanam chesaru,hate,
HATE_3891,ycp paytm batch vachhindi,hate,
HATE_3892,Zilla ko airport kadaruga. Inka roads ala vunte enti,hate,
HATE_3893,Sakshilo anni migurinchi rasuko,hate,
HATE_3894,adige dhammu manà jail reddy ki ledu,hate,
HATE_3895,జగన్ పరువు మోడీ పరువు కాదు అక్కడ పోయింది విపక్షాల పరువు ఆ మూర్ఖులకు ఇంకా అర్థం అవ్వట్లేదు,hate,
HATE_3896,​asalu districts okkati capital ayethe godava vundadu,non-hate,
HATE_3897,Veedu am pikaledu ani telusu,hate,
HATE_3898,​మా జగన్ రెడ్డికి హిందీ ఇంగ్లీషు రాదు,hate,
HATE_3899,​okadaniki dhikku ledhu veddi mokana 3 anta aha aha,hate,
HATE_3900,​తెలుగు కూడా కొంచెం కొంచెమే వస్తది మా జగన్ రెడ్డి,hate,
HATE_3901,sampu ravali palana marali,hate,
HATE_3902,"​వైసీపీ, బిజేపి ఒకటే. రెండు పార్టీలు understandig.జగన్ గారు ఇక్కడ గట్టిగా అరిస్తే అపోజిషన్ రేపు డిబేట్ లో సీఎం గారు అడగలేదు అని అంటారు.అంతకు మించి ఏమీ లేదు.",hate,
HATE_3903,Telangana Andhra Pradesh me B J P ki Sarkar banna na mumkin hai ye yad rakho,hate,
HATE_3904,అసలు వీళ్ళ బిల్డప్ ఏంటో నాకు అర్ధం kavatle,hate,
HATE_3905,Cinema vundi bayya…… jivitham lo malli movies choodakoodadu ane feeling vacchindi,hate,
HATE_3906,Heroine kante ekkuva feel avutundi ga pilli mokham de antha scene a ledu ani teliyadu daaniki,hate,
HATE_3907,వీడికి ఇంత మంది అవసరమా వోవర్ కూడా,hate,
HATE_3908,andariki nidrostundi observe clearly ,hate,
HATE_3909,సినిమా తీసి రిలీజ్ అయితే కొన్ని వేలమంది సరుకులు సుడిగాలి సుదీర్ ఒకడుగా చేరిపోతాడు అప్పుడు తెలుస్తది,non-hate,
HATE_3910,సుదీర్ అన్న సింపుల్ నెస్ సూపర్,non-hate,
HATE_3911,కొంచం తగిచు కొంటే బావుండు,hate,
HATE_3912,"Deepika cat feeling::: ammababoi nenu kudaa heroine ayipoyaa, camera manalnee focus chestunayi chudanatee buildup iddam",hate,
HATE_3913,Cmr central lo movie promote chestey baguntadi weekends Saturday or Sunday movie blockbuster pakka,non-hate,
HATE_3914,EDI padite adi teeyadam janaalanu cash chesukovadam.,hate,
HATE_3915,"Sudheer garu na presna pedha pedha star la ke ,e, bild up undadhu nuv chala chestunav Nee kanna get up srinu baga chestaru Srinu annake big screen ki face ki correct bagutundhi",hate,
HATE_3916,Rashmi tho kalisi oka manchi love story movie theeyi sudheer anna..,non-hate,
HATE_3917,Deepika kanna rashmi ye baguntundi,hate,
HATE_3918,Abba meeru em handsome anna abba i love you sudheer bro,non-hate,
HATE_3919,అబ్బా బ్యూటిఫుల్ కపుల్స్ చూడడానికి ఎంత సంతోషంగా ఉందో అందరూ ఇలా సంతోషంగా ఉండాలని కోరుకుంటున్నాను,non-hate,
HATE_3920,నిను చూస్తుంటే KGF సినిమాలో RACKY బాయ్ గుర్తుకు వస్తున్నాడు,non-hate,
HATE_3921,నువ్ హీరో అవతావు అన్న అంత స్టయిల్ వుంది నిలో ఇది రియల్ మాట,non-hate,
HATE_3922,కు డాన్స్ రాదు అనే స్టేజ్ నుండి డాన్స్ అంటే ఇది రా అనే రేంజ్ కి వచ్చావు జాని అన్నా,non-hate,
HATE_3923,హీరో మెటీరియల్ జానీ అన్న నువ్వు,non-hate,
HATE_3924,బయటకు గేంటేసారు ఒక్కసారి లైవ్ ప్రోగ్రాం నుండి అంతే పాస్ట్ గా పైకి లేచాడు చూపించావు ఓటమి లో కూడా ఎలా పైకి రావాలో అని ,non-hate,
HATE_3925,డాన్స్ అంటే ఇది ఇలా ఉండాలి స్టైల్ గా చూడడాడనికి అందం గా ఆ ఢీ షో లో చేస్తారు అది సర్కస్ లా ఉంటుంది ,non-hate,
HATE_3926,"Kgf chapter 1 ఫ్లెక్స్ చూసి జాని మాస్టర్ అనుకున్న ఫస్ట్ యాష్, రామ్ చరణ్ , జాని ఒకలాగే ఉంటారు",non-hate,
HATE_3927,చాలా కష్టపడి ఈ స్టేజి కి వచ్చడు,non-hate,
HATE_3928,Hero ️ కంటే ఎక్కువ నువ్వు చాలా బాగున్నావూ,non-hate,
HATE_3929,సూపర్ డ్యాన్స్ మాస్టర్ జానీ,non-hate,
HATE_3930,జానీ బాయ్ బాలీవుడ్ కి మన తెలుగోడి పవర్ చూపించావు,non-hate,
HATE_3931,నీతి నిజాయితీ గా ఉన్న వాళ్ళు కు దైవబలం 100% ఉంటుంది ,non-hate,
HATE_3932,మీరు సూపర్ మేడం పట్టుదల ఉంటే ఏదైనా సాధించవచ్చు అని మీరు నిరూపించారు,non-hate,
HATE_3933,మేడం మీలాంటివారు ఉండాలి యువర్ గ్రేట్ మేడం కంగ్రాట్యులేషన్స్ మేడం,non-hate,
HATE_3934,ఆమె ధైర్యానికి సమర్ధతకు సెల్యూట్. కాఫీడే సంస్థ ఛైర్ పర్సన్,non-hate,
HATE_3935,నువ్వు మా చెల్లివైతే ఇంకా సంతోషించేవాడిని,non-hate,
HATE_3936,మీ మనో ధైర్యానికి మీ సమర్ధతకు నా జోహార్లు.,non-hate,
HATE_3937,హాట్సాఫ్ అండి నీ గుండె ధైర్యానికి నీ మనస్సాక్షికి హాట్సాఫ్ మై సెల్యూట్,non-hate,
HATE_3938,మీ విజయానికి హ్యాట్సాఫ్ మేడం... ,non-hate,
HATE_3939,ఆవిడ కష్టాలకి like kadu ఆమె మనోబలాన్ని కి like,non-hate,
HATE_3940,"మీ సాహసానికి,మీ సంస్కారానికి కోటి దండాలు ",non-hate,
HATE_3941,హో పోలవరం BAFOON గాఢ అవసరమా వీడికి ఇంత బిల్డ్,hate,
HATE_3942,పని తక్కువ బిల్డప్ ఎక్కువ,hate,
HATE_3943,ఎవడ్రా ఎవడ్రా వీడు పేకాట క్లబ్బులు నడిపించేవాడు,hate,
HATE_3944,"డికి ఈ background ఎందుకు ర, స్వామి",hate,
HATE_3945,Anna yentanna edhi nenu yeppudu chudalee,hate,
HATE_3946,కోతులు దిగేదానికి ఇంత bulid up aaa,hate,
HATE_3947,నాకు పిచ్చిలేదు కానీ పిచ్చి మైండ్ వుంది,hate,
HATE_3948,ఓరి ఎవరో అనుకున్న ఈడిక ఇంత బిల్డుపు,hate,
HATE_3949,"BGM కొట్టిన వాడు చూస్తే ఏడుస్తాడు చూడలేక,",hate,
HATE_3950,అనిల్ యాదవ్ be like ;ఎవడ్రా ఎవడ్రా నువ్వు బోకు ను బోకును నేను,hate,
HATE_3951,బైరెడ్డి సిద్దార్థరెడ్డి అన్న హీరో,non-hate,
HATE_3952,ఇనుము ఇనుముని️ కాదు ఎనుము ఎనుముని అనాలి,hate,
HATE_3953,అన్న casino లీగల్ చేయండి ప్లీజ్ అన్న,non-hate,
HATE_3954,మా తెలంగాణ కేటీఆర్ దాంట్లో సగం టాలెంట్ లేదురా,hate,
HATE_3955,420 batch loo vedu okkadu ycp party loo,hate,
HATE_3956,ఇది నాయకులు అంటే జై జనసేన,non-hate,
HATE_3957,ఆయన స్ధాయి వేరు ఆ స్ధానం వేరు,non-hate,
HATE_3958,కష్ట పడి కింద నుంచి వచ్చిన వారు చిరంజీవి అయన ప్రతి ఒక్కరికి రెస్పెక్ట్ ఇస్తారు,non-hate,
HATE_3959,ఎక్కడ మొదలయ్యారు.. ఎక్కడికి వెళ్లి కూర్చున్నారు..,non-hate,
HATE_3960,ఎంతైనా మెగా ఫ్యామిలీ గ్రేట్ ఫ్యామిలీ. వాళ్ళని ఎవరైనా గౌరవించాల్సిందే,non-hate,
HATE_3961,Mari atluntadhi krithi brm  thoni  andham ante minimam atta,non-hate,
HATE_3962,నిజాయితీని నముకునోడు సక్కగా వుంటాడు దారి తాపిన నాకొడుకు ఒగోని కాళ్లు పట్టుకుంటున్నాడు,hate,
HATE_3963,దానినే హుందాతనం అంటారు,hate,
HATE_3964,32 caselu unnapudu kallu pattukovali leka pothey CBI vaalu Jail lo vestharu,hate,
HATE_3965,Expresion em vundavu... Anntiki same expressions,non-hate,
HATE_3966,"Ayyo anuksha seeti ki,krthi setti ki shoulder down undhi,,,",hate,
HATE_3967,ఇది హీరోయిన్ ఏంట్రా కర్మ....చి చి..మూతి హీరోయిన్..ఒక సినిమా హీరోయిన్ అంతే ఇదేనేమో,hate,
HATE_3968,ఈ లాంటి కష్టమైన పనులకు ప్రభుత్వం గుర్తించి వారికి ఎంతో కొంత పెన్షన్ మంజూరు చేయాలి,non-hate,
HATE_3969,కలి కాలం లో ఇలాంటి వి జరగడం మాములు పోయేకాలం వీడియో గురించి డ్రెస్ ఖర్చు కి బదులు,hate,
HATE_3970,సిస్టర్ నువ్వు చాలా బాగా చేసావ్ అమ్మ నీలో టాలెంట్ మామూలుగా లేదు.,non-hate,
HATE_3971,Antha perfect ga ayithae raledhu but try chesaru kadha that's more important,hate,
HATE_3972,ఇలాంటి వాల్లే పెళ్లి అయిన నెలకి భర్తను చంపెది,hate,
HATE_3973,నిజంగా️ సూపర్ గా చేశావ్,non-hate,
HATE_3974,గ్రేట్ పర్ఫామెన్స్ సిస్ క్రింది టైల్స్ స్లిప్ అవుతున్న బలన్స్ చేసుకొని పెర్ఫెక్ట్ గా డాన్స్ వేసావ్ సూపర్,non-hate,
HATE_3975,వావ్ మీ డాన్స్ సూపర్ సూపర్,non-hate,
HATE_3976,ఈ కాలంలో ఈ డాన్స్ లా మీద ఉన్న ఇంట్రస్ట్ జీవితాల మీద లేకుండా పోయింది ,hate,
HATE_3977,సూపర్ బంగారం అమ్మా,non-hate,
HATE_3978,డాన్స్ ప్లస్ సీజన్ 2 కావాలి ,non-hate,
HATE_3979,ఏం పర్ల ఏం పర్లా....కప్పు ముఖ్యం కాదు....ఎంత కుళ్ళు కుంటూ బ్రతికామా అన్నది ముఖ్యం..,hate,
HATE_3980,హాగ్ ఇవ్వటానికి రావాలి,non-hate,
HATE_3981,ఎంత తోక్కితే అంత లేస్తాడు మా అన్నా.,non-hate,
HATE_3982,మీరు కామన్ మ్యాన్ గా ఉనాపుడే ఇంత జనం అదే సీఎం,non-hate,
HATE_3983,ఇదే అభిమానం elections వరకు ఉండాలి ,non-hate,
HATE_3984,నిన్ను కోల్పోవడం మా దురదృష్టం. మా పేదల హృదయంలో ఎప్పటికి ,non-hate,
HATE_3985,"తెలంగాణ ఉద్యమ గీతాల నుండి, మాస్ గీతాల మీదికి రూట్ మార్చిన మంగ్లీ",non-hate,
HATE_3986,మంగ్లీ మేడం గొంతులో ఏ పాటైనా అత్యంత మధురం ఎంత ఎంజాయ్ చేస్తూ పాడుతుందో. ,non-hate,
HATE_3987,Akka neee voice la Edo magic music undiii,non-hate,
HATE_3988,అక్క నీ పాట ప్రతి ఒక్కటి అదిరిపోతుంది,non-hate,
HATE_3989,మంగ్లి అంటే ఎనర్జీ,non-hate,
HATE_3990,Dress bavundi kaani phone poyindi,non-hate,
HATE_3991,Dress ni chusukunnatuga kasta phone ni kuda chuskovali kada amma ,non-hate,
HATE_3992,మంగ్లీ పాడిన పాటలు అన్నీ ఒకేలాగనే అనిపిస్తున్నాయి పెద్ద డిఫరెంట్ ఏమీ లేదు,hate,
HATE_3993,దీనికన్నా బాగా పడేవాళ్ళు unnaru వాళ్ళను ఎంకరేజ్ చేయండి,hate,
HATE_3994,ప్రతి పాట అరపు ఎక్కువగా ఉంటుంది ఎందుకో అన్ని పాటలు ఒకేలా ఉన్నాయి.,non-hate,
HATE_3995,Helping nature kuda vundaali apude manishiki viluva,non-hate,
HATE_3996,రియల్ డ్యాన్స్ బ్రో అధరగొట్టారు,non-hate,
HATE_3997,ఎన్ని సార్లు చూసినా ఇంకా చూడాలనిపిస్తుంది మీ డాన్స్,non-hate,
HATE_3998,ఆ వైట్ డ్రెస్ లో చూస్తుంటే విజయవాడ పెద్దపులి వంగవీటి మోహన్ రంగా ను చూసినట్టుంది అన్న,non-hate,
HATE_3999,ఈసారి ఏ పార్టీకి అమ్ముడుపోతారో పవన్ కళ్యాణ్ గారు చూద్దాం,non-hate,
HATE_4000,వంగవీటి మోహనరంగా స్టైల్ కదా,non-hate,
HATE_4001,లైక్ లు కొట్టేవాళ్ళు ఎక్కువా కానీ ఓట్లు వేసేవాళ్ళు చాలా తక్కువా,hate,
HATE_4002,అడక్కలు అందరు కలిసి ఫస్ట్ నైట్ కి రూమ్ లోకి పంప్తున్నారేమిటి,hate,
HATE_4003,ఇంత స్పీడ్ డాన్సర్ ఎవరు చేయలేరు,non-hate,
HATE_4004,ఎన్నో కోట్ల మంది గుండెల్లో నిలిచిపోయిన దేవుడు ,non-hate,
HATE_4005,ఇంత ఫిట్ బాడీ ఉండి అప్పు అన్న అల మరణించడం బాధగా ఉంది,non-hate,
HATE_4006,ఆ మాస్టర్ శ్రీముఖి నందు ఎలక పిల్ల లా ఉన్నాడు,non-hate,
HATE_4007,శేఖర్ మాస్టర్ గారు అండ్ శ్రీముఖి గారు మీ డ్యాన్స్ బాగా అదిరింది ,non-hate,
HATE_4008,నీవు అంతా లావుగా ఉన్న డ్యాన్స్ సూపర్ శ్రీముఖి,non-hate,
HATE_4009,తొడలు... అస్సలు ఉన్నాయి ,hate,
HATE_4010,అరటి బొదలు అనంగా విన్నాను. ఇప్పుడు శ్రీముఖివి చూశాను.,hate,
HATE_4011,అవి తొడల మెట్రో పిల్లర్ల అంతున్నాయి ,hate,
HATE_4012,"ఆడవాళ్ళు మగవాళ్ళు గా , మగవాళ్ళు ఆడవాళ్ళు గా",hate,
HATE_4013,తొడలు చుపెట్టడానికి aa చిన్న బట్ట వేసుకుంది,hate,
HATE_4014,మంచి జోడి ఉన్న ఎద్దులు,hate,
HATE_4015,మంచి జోడి ఉన్న ఎద్దులు,hate,
HATE_4016,సార్ మీరు మా ఫెవర్ సార్,hate,
HATE_4017,బెడ్రూమ్ లో ఇద్దరు ఏందోఉంది ,hate,
HATE_4018,తొడలు చాలా ఆకర్షణీయంగా కనబడుతున్నాయి,hate,
HATE_4019,హమ్మయ్య.. ఇప్పటికి ఒక మంచి వీడియో చేశావు తల్లి ,non-hate,
HATE_4020,నిన్ను ఇలా చూస్తుంటే నా సోమి రంగ ,non-hate,
HATE_4021,ఈ గుర్రము ఎక్కడికి పోతుంది,non-hate,
HATE_4022,నువ్వు ఇలా కన్ను కొట్టి రెండు వేళ్ళు చూయించినప్పుడు నా సామిరంగా నరాలు జివ్వూ మన్నవి,non-hate,
HATE_4023,ఆ కారుకు సరే..... నీకు దొరికాడా డ్రైవరు?? ,hate,
HATE_4024,ఇలాంటి అన్ని చూపించేస్తే సినిమా చూస్తున్నాం అనే ఫీలింగ్ ఉండదు.,non-hate,
HATE_4025,పద్దతిగా వుండండి,non-hate,
